,name,latitude,longitude
671,Las Cumbres,19.15,-97.27
672,Las Lajas,12.3,-85.73
673,Las Pilas,12.495,-86.688
674,Lascar,-23.37,-67.73
675,Lassen Volcanic Center,40.492,-121.508
676,Lastarria,-25.168,-68.507
677,Latukan,7.65,124.45
678,Lautaro,-49.02,-73.55
679,Lavic Lake,34.75,-116.625
680,Lawu,-7.625,111.192
681,Leizhou Bandao,20.78,110.17
682,Lejía,-23.55,-67.77
683,Leonard Range,7.382,126.047
684,Leroboleng,-8.365,122.833
685,Leskov Island,-56.656,-28.14
686,Lettunup,58.4,58.4
687,Leutongey,57.3,159.83
688,Level Mountain,58.42,-131.35
689,Lewotobi,-8.542,122.775
690,Lewotolo,-8.272,123.505
691,Lexone,-17.87,-69.48
692,Liamuiga,17.37,-62.8
693,Licancabur,-22.83,-67.88
694,Licto,-1.78,-78.613
695,Linzor,-22.18,-67.95
696,Lipari,38.48,14.95
697,Little Sitkin,51.95,178.543
698,Ljosufjoll,64.87,-22.23
699,Llaima,-38.692,-71.729
700,Llancanelo Volcanic Field,-35.75,-69.25
701,Llullaillaco,-24.72,-68.53
702,Loihi,18.92,-155.27
703,Lokon-Empung,1.358,124.792
704,Lomas Blancas,-36.286,-71.009
705,Long Valley,37.7,-118.87
706,Longgang Group,42.33,126.5
707,Longonot,-0.914,36.446
708,Lonquimay,-38.379,-71.586
709,Los Atlixcos,19.809,-96.526
710,Los Azufres,19.85,-100.63
711,Los Humeros,19.68,-97.45
712,Los Patos,-27.27,-69
713,Losloyo,-23.13,-67.37
714,Lower Chindwin,22.28,95.1
715,Lubukraya,1.478,99.209
716,Ma Alalta,13.013,40.185
717,Macá,-45.1,-73.17
718,Macauley,-30.2,-178.47
719,Macdonald,-28.98,-140.25
720,Machín,4.487,-75.389
721,Madeira,32.73,-16.97
722,Mageik,58.195,-155.253
723,Mahagnao,10.882,124.888
724,Mahawu,1.352,124.865
725,Maipo,-34.164,-69.832
726,Makaturing,7.647,124.32
727,Makian,0.32,127.4
728,Makushin,53.891,-166.923
729,Malinao,13.416,123.608
730,Malindang,8.22,123.63
731,Malindig,13.24,122.018
732,Malintang,0.47,99.67
733,Maly Payalpan,55.82,157.98
734,Maly Semyachik,54.135,159.674
735,Mammoth Mountain,37.631,-119.032
736,Manda Gargori,11.75,41.48
737,Manda Hararo,12.17,40.82
738,Manda-Inakir,12.38,42.2
739,Mandalagan,10.65,123.25
740,Manuk,-5.543,130.303
741,Manzaz Volcanic Field,23.92,5.83
742,Marapi,-0.381,100.473
743,Mare,0.57,127.4
744,Marion Island,-46.9,37.75
745,Mariveles,14.52,120.47
746,Markagunt Plateau,37.58,-122.67
747,Maroa,-38.42,176.33
748,Marsabit,2.32,37.97
749,Martin,58.172,-155.361
750,Masaraga,13.32,123.6
751,Masaya,11.984,-86.161
752,Mascota Volcanic Field,20.62,-104.83
753,Mashkovtsev,51.1,156.72
754,Mat Ala,13.106,41.161
755,Matutum,6.37,125.07
756,Mauna Kea,19.82,-155.47
757,Mauna Loa,19.475,-155.608
758,Mayon,13.257,123.685
759,Mayor Island,-37.28,176.25
760,Mayotte Island,-12.83,45.17
761,McDonald Islands,-53.03,72.6
762,Meager,50.63,-1235
763,Medicine Lake,41.611,-121.554
764,Mega Basalt Field,4.08,37.42
